frame,morphant,sample,intensity
12,NIT2-MO1,19,1.0497179
12,NIT2-MO1,20,1.0308468
12,NIT2-MO1,21,1.0405309
12,NIT2-MO1,22,1.0764353
12,NIT2-MO2,23,1.0502218
12,NIT2-MO2,24,1.1052905
12,NIT2-MO2,25,0.942329
12,NIT2-MO2,26,0.9765463
12,NIT2-MO2,27,0.9979327
12,NIT2-MO2,28,1.0374811
12,NIT2-MO2,29,1.0553777
12,NIT2-MO2,30,1.0574931
12,NIT2-MO2,31,1.0961576
12,NIT2-MO2,32,1.1155756
12,NIT2-MO2,33,0.9516863
12,NIT2-MO2,34,0.8935213
12,NIT2-MO2,35,0.957986
12,NIT2-MO2,36,1.0243942
12,NIT2-MO2,37,1.0269705
12,NIT2-MO2,38,0.9792446
12,NIT2-MO2,39,1.0485632
12,NIT2-MO2,40,1.0662419
12,NIT2-MO2,41,0.9514599
12,NIT2-MO2,42,1.0597311
12,NIT2-MO2,43,0.9842485
12,NIT2-MO2,44,1.0707917
12,NIT2-MO2,45,1.0756004
12,NIT2-MO2,46,1.0329087
12,NIT2-MO2,47,1.0681732
12,NIT2-MO2,48,1.0912699
12,NIT2-MO2,49,1.0562691
12,NIT2-MO2,50,1.0517547
12,NIT2-MO2,51,1.0316513
12,NIT2-MO2,52,1.0358753
12,NIT2-MO2,53,1.0132355
12,NIT2-MO2,54,0.966741
13,NIT2-MO1,2,1.0577004
13,NIT2-MO1,3,1.0253672
13,NIT2-MO1,4,1.0190616
13,NIT2-MO1,5,1.0045734
13,NIT2-MO1,6,1.0657227
13,NIT2-MO1,7,0.9891718
13,NIT2-MO1,8,1.0288221
13,NIT2-MO1,9,1.0085504
13,NIT2-MO1,10,1.011969
13,NIT2-MO1,11,1.003699
13,NIT2-MO1,12,1.0195128
13,NIT2-MO1,13,1.0108856
13,NIT2-MO1,14,1.0598612
13,NIT2-MO1,15,1.0215539
13,NIT2-MO1,16,0.9974048
13,NIT2-MO1,17,1.0490317
13,NIT2-MO1,18,1.0174113
13,NIT2-MO1,19,1.0362036
13,NIT2-MO1,20,1.0282763
13,NIT2-MO1,21,1.0493894
13,NIT2-MO1,22,1.080967
13,NIT2-MO2,23,1.0489542
13,NIT2-MO2,24,1.0990325
13,NIT2-MO2,25,0.9474256
13,NIT2-MO2,26,0.9642292
13,NIT2-MO2,27,0.995011
13,NIT2-MO2,28,1.0183328
13,NIT2-MO2,29,1.0379721
13,NIT2-MO2,30,1.0541245
13,NIT2-MO2,31,1.0831602
13,NIT2-MO2,32,1.1098549
13,NIT2-MO2,33,0.9613553
13,NIT2-MO2,34,0.9005831
13,NIT2-MO2,35,0.9426366
13,NIT2-MO2,36,1.0251172
13,NIT2-MO2,37,1.0207229
13,NIT2-MO2,38,0.9691023
13,NIT2-MO2,39,1.0400301
13,NIT2-MO2,40,1.0486032
13,NIT2-MO2,41,0.9524692
13,NIT2-MO2,42,1.059283
13,NIT2-MO2,43,0.9740132
13,NIT2-MO2,44,1.0574054
13,NIT2-MO2,45,1.098203
13,NIT2-MO2,46,1.0243681
13,NIT2-MO2,47,1.0411041
13,NIT2-MO2,48,1.0674796
13,NIT2-MO2,49,1.0634637
13,NIT2-MO2,50,1.0548169
13,NIT2-MO2,51,1.0185876
13,NIT2-MO2,52,1.0371631
13,NIT2-MO2,53,1.015299
13,NIT2-MO2,54,0.9655937
14,NIT2-MO1,2,1.0538033
14,NIT2-MO1,3,1.0247624
14,NIT2-MO1,4,1.0212221
14,NIT2-MO1,5,0.9888368
14,NIT2-MO1,6,1.0607399
14,NIT2-MO1,7,0.9917412
14,NIT2-MO1,8,1.0310215
14,NIT2-MO1,9,1.0088919
14,NIT2-MO1,10,1.007875
14,NIT2-MO1,11,1.0030432
14,NIT2-MO1,12,1.0205027
14,NIT2-MO1,13,1.0057125
14,NIT2-MO1,14,1.0565824
14,NIT2-MO1,15,1.0206558
14,NIT2-MO1,16,0.9941723
14,NIT2-MO1,17,1.0518749
14,NIT2-MO1,18,1.0173182
14,NIT2-MO1,19,1.0411836
14,NIT2-MO1,20,1.0256329
14,NIT2-MO1,21,1.0501547
14,NIT2-MO1,22,1.0812767
14,NIT2-MO2,23,1.0312981
14,NIT2-MO2,24,1.0920712
14,NIT2-MO2,25,0.9274356
14,NIT2-MO2,26,0.9651055
14,NIT2-MO2,27,0.9787484
14,NIT2-MO2,28,1.00672
14,NIT2-MO2,29,1.0212233
14,NIT2-MO2,30,1.0392733
14,NIT2-MO2,31,1.078875
14,NIT2-MO2,32,1.1001008
14,NIT2-MO2,33,0.9491072
14,NIT2-MO2,34,0.907376
14,NIT2-MO2,35,0.9325378
14,NIT2-MO2,36,1.0238725
14,NIT2-MO2,37,1.0087995
14,NIT2-MO2,38,0.9628541
14,NIT2-MO2,39,1.0295395
14,NIT2-MO2,40,1.0426429
14,NIT2-MO2,41,0.9619937
